0b2be71759cb96dc3b22982300a40031, 15, R290 R1150 R50, 2 2 2, -17.45 -38.443 -71.499 -102.36 -129.92 -160
aebe63b9d63873972fd913339e52e8e3, 15, R290 R1150 R50, 2 2 2, -17.3247 -38.4404 -71.4917 -102.355 -129.918 -160
aebe63b9d63873972fd913339e52e8e3, 15, R290 R1150 R50, 2 2 2, -15.833 -39.102 -71.4974 -102.355 -130.372 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 2 2 2, -13.7088 -38.8653 -73.4306 -102.164 -134.213 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 2 2 2, -13.7041 -38.9344 -73.4181 -102.241 -134.229 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 2 2 2, -13.7088 -38.8653 -73.4306 -102.164 -134.213 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 22, R290 R1150 R50, 2 2 2, -12.8374 -38.904 -73.0499 -102.362 -134.887 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 2 2 2, -17.5228 -38.5486 -71.4933 -102.362 -134.256 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 2 2 2, -17.5219 -38.5488 -71.5 -102.364 -134.47 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 7, R290 R1150 R50, 2 2 2, -18.8475 -38.7035 -71.4893 -102.355 -132.871 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 3, R290 R1150 R50, 2 2 2, -20.7663 -39.1464 -71.4639 -102.358 -134.017 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 3, R290 R1150 R50, 2 2 2, -20.7669 -39.1482 -71.5 -102.364 -134.25 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 2 2 2, -35.7876 -40.0558 -70.3649 -101.598 -135.706 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 2 2 2, -35.0377 -40.2344 -71.2194 -102.364 -134.392 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 2 2 2, -34.8957 -40.2344 -71.2919 -102.358 -134.457 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 2 2 2, -34.3331 -40.2344 -71.8458 -102.364 -134.533 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 2 2 2, -28.5888 -40.2312 -70.5059 -102.025 -135.187 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 2 2 2, -28.3746 -40.2344 -71.5004 -102.364 -135.845 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 2 2 2, -22.7131 -40.2056 -71.523 -102.35 -134.144 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 2 2 2, -22.6981 -40.2195 -71.5 -102.364 -133.943 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 2 2 2, -18.642 -40.1759 -71.5038 -102.357 -134.28 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 2 2 2, -18.6433 -40.1779 -71.5 -102.364 -134.355 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 2 2 2, -13.6678 -38.9105 -73.3482 -102.172 -134.74 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 2 2 2, -13.5514 -38.6968 -73.5626 -102.364 -134.61 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 2 2 2, -8.67155 -37.72 -73.1052 -102.335 -133.39 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 2 2 2, -8.19498 -37.0601 -73 -102.364 -132.798 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 2 2 2, -3.81207 -35.5778 -73.1466 -102.36 -133.294 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 2 2 2, -2.89076 -35.5783 -72.9744 -102.364 -133.04 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 1 1 1, -40.2343 -101.536 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 1 1 1, -40.2344 -101.537 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 1 1 1, -40.2344 -101.543 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 1 1 1, -40.2344 -101.543 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 1 1 1, -40.2344 -101.702 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 1 1 1, -40.2344 -101.702 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 1 1 1, -40.2344 -101.714 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 1 1 1, -40.2344 -101.928 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 1 1 1, -40.2343 -102.102 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 1 1 1, -40.2344 -102.23 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 1 1 1, -40.2344 -102.232 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 1 1 1, -39.5967 -102.364 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 1 1 1, -39.5968 -102.364 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 1 2 2, -40.0009 -70.3844 -102.29 -134.139 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -30, R290 R1150 R50, 1 2 2, -40.2344 -70.6903 -102.364 -134.253 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 1 2 2, -40.2343 -70.6026 -102.364 -134.376 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -20, R290 R1150 R50, 1 2 2, -40.233 -70.9979 -102.364 -135.019 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 1 2 2, -40.2337 -71.4972 -102.364 -135.534 -160
f860bbbd6f7fd1f07eae9c2e2e130450, -10, R290 R1150 R50, 1 2 2, -40.2344 -71.4993 -102.364 -135.873 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 1 2 2, -37.7893 -70.8668 -102.351 -133.818 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 0, R290 R1150 R50, 1 2 2, -38.3339 -71.2338 -102.364 -132.79 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 1 2 2, -34.4187 -74.4371 -102.246 -133.561 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 10, R290 R1150 R50, 1 2 2, -36.1466 -74.4649 -102.273 -132.963 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 1 2 2, -31.0605 -72.0489 -102.195 -133.424 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 20, R290 R1150 R50, 1 2 2, -30.6384 -71.8272 -102.364 -133.614 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 1 2 2, -26.9061 -71.4996 -102.361 -133.905 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 30, R290 R1150 R50, 1 2 2, -26.9171 -71.5 -102.364 -133.966 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 1 2 2, -23.44 -71.4999 -102.364 -134.314 -160
f860bbbd6f7fd1f07eae9c2e2e130450, 40, R290 R1150 R50, 1 2 2, -23.3991 -71.5 -102.364 -134.31 -160
2be809b975626c1dc64666eb2ac1a752, -30, R290 R1150 R50, 2 2 2, -33.2434 -40.2295 -71.3843 -102.345 -129.946 -160
2be809b975626c1dc64666eb2ac1a752, -30, R290 R1150 R50, 2 2 2, -34.584 -40.2344 -71.5 -102.364 -129.984 -160
2be809b975626c1dc64666eb2ac1a752, -20, R290 R1150 R50, 2 2 2, -34.0974 -40.2279 -71.4987 -102.363 -129.883 -160
2be809b975626c1dc64666eb2ac1a752, -20, R290 R1150 R50, 2 2 2, -33.7559 -40.2344 -74.929 -102.352 -130.609 -160
2be809b975626c1dc64666eb2ac1a752, -10, R290 R1150 R50, 2 2 2, -25.2838 -39.8141 -76.5504 -101.161 -129.531 -160
2be809b975626c1dc64666eb2ac1a752, -10, R290 R1150 R50, 2 2 2, -24.6366 -40.2344 -77.1611 -101.695 -128.746 -160
2be809b975626c1dc64666eb2ac1a752, 0, R290 R1150 R50, 2 2 2, -21.7794 -40.1332 -77.6245 -102.294 -129.469 -160
2be809b975626c1dc64666eb2ac1a752, 0, R290 R1150 R50, 2 2 2, -20.9933 -40.2344 -77.7189 -102.36 -128.96 -160
2be809b975626c1dc64666eb2ac1a752, 10, R290 R1150 R50, 2 2 2, -14.4403 -40.2229 -72.0438 -102.351 -130.074 -160
2be809b975626c1dc64666eb2ac1a752, 10, R290 R1150 R50, 2 2 2, -14.5714 -40.2344 -72.3037 -102.364 -130.028 -160
2be809b975626c1dc64666eb2ac1a752, 20, R290 R1150 R50, 2 2 2, -11.3408 -40.2149 -72.6925 -102.349 -129.835 -160
2be809b975626c1dc64666eb2ac1a752, 20, R290 R1150 R50, 2 2 2, -11.3378 -40.2344 -72.6526 -102.364 -129.905 -160
2be809b975626c1dc64666eb2ac1a752, 30, R290 R1150 R50, 2 2 2, -8.89486 -38.0837 -76.826 -102.291 -129.684 -160
2be809b975626c1dc64666eb2ac1a752, 30, R290 R1150 R50, 2 2 2, -5.23158 -40.2299 -77.6033 -102.225 -129.169 -160
2be809b975626c1dc64666eb2ac1a752, 40, R290 R1150 R50, 2 2 2, -2.15475 -39.6562 -77.3871 -102.232 -130.201 -160
2be809b975626c1dc64666eb2ac1a752, 40, R290 R1150 R50, 2 2 2, 0.0684592 -39.9695 -77.747 -102.364 -129.288 -160
2be809b975626c1dc64666eb2ac1a752, -30, R290 R1150 R50, 1 1 1, -40.2343 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, -30, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, -20, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, -20, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, -10, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, -10, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 0, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 0, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 10, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 10, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 20, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 20, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
2be809b975626c1dc64666eb2ac1a752, 30, R290 R1150 R50, 1 1 1, -40.2344 -102.364 -160
